,color,review,review_of_text,review_title,style_name,verified_purchase
98,Black,"The product is good.We exchanged our 6s for this product.The mail sent by amazon regarding the exchange process should have been clearer and crisp.
Too complicated a process!!
Email should have clearly mentioned the steps apart from the standard 3 steps.
Download amazon app on the product to be exchanged.But its not easy ,takes long and is not a simple one post downloading!
Better to clarify everything in the order summary clear and bold about the 7 step verification to make the customer and the delivery executive not lose time!",Reviewed in India on 19 January 2022,Product is good but exchange process could have been better!,64GB,Verified Purchase
99,Blue,My camera does not work,Reviewed in India on 21 January 2021,The camera does not work,128GB,Verified Purchase
100,Green,This is quality of iphone 12 I believe my product was defeated but Dnt buy from this seller,Reviewed in India on 5 May 2021,Waste of money fraud product,128GB,Verified Purchase
101,Green,"Great display, RAM management is super. Camera is best in comparison to any other android phone. Battery will last 1 day but it can be better. If you are planning to use for daily work and office mail then it will perfectly work for one day. Very fast face recognition and blazing fast processor.",Reviewed in India on 20 June 2021,Great phone ever,64GB,Verified Purchase
102,Blue,Thank you Apple Inc. and Amazon. It is worth for each penny. Kudos to you guys and yes it is assembled in India ❤️,Reviewed in India on 2 May 2021,Make in India 🇮🇳,128GB,Verified Purchase
103,Blue,"Received defective product from Amazon end,and refused to replace , Apple says go back to Amazon.Therefore I advised to purchase it from Apple store. Amazon customer care already wasted lots of time and solutions nil batte sannaata.",Reviewed in India on 6 June 2021,If u want peace purchase it from Apple store.,128GB,Verified Purchase
104,Black,"Phone was working dinw untill one day when it all of a sudden went black screen went black and now its not turning on I tried all the methods to boot it up, battery status was 60 percent when it turned off now i am worried, no physical damage was there but dont why it stopped functioning. And here in himachal pradesh No service centre is here, have to travle 250Km to get this fixed. It is very sad after spending a huge amount this phone stopped working in just 8 months.",Reviewed in India on 25 September 2021,Phone is not turning on,128GB,Verified Purchase
105,White,"Very good. Easy user interface. Good screen. Screen notch design is outdated. No finger scanner for unlocking. Battery life needs improvement. Only 60 hz screen refresh rate. No charger inside box. Carrier Aggregation 4g+ not visible.
Price is on higher side. Bluetooth transfer is major issue.",Reviewed in India on 12 September 2021,Pretty good,128GB,Verified Purchase
106,Blue,"I have been an android user and shifting to Apple was a real uphill task in my thoughts. Proved quite the opposite. It's a smooth experience. Battery can be better considering how much better other phones r getting, rest all seems fine. No issues so far. In love with the camera. Super light weight(you do need a back cover) and amazing.",Reviewed in India on 24 June 2021,Nearly there to being just the perfect phone,128GB,Verified Purchase
107,Blue,This phone needs too much optimisation aim assist not working in PUBG in my phone,Reviewed in India on 24 March 2021,Mobile performance is not good for PUBG,64GB,Verified Purchase
108,Black,"recently shifted from note series to iphone. Only con i feel is battery dosent last as long as it lasted for my galaxy note 10 lite.
pros
its An iphone
camera is awsome
face reco is marvelous even in dark it takes fraction of seconds
super light weight. lighter than iphone SE 2020
speakers are loud and formed
in short if you arent a heavy gamer or youtuber or video fans or anyof these and dont mind charging phone twice a day theres no issue with it",Reviewed in India on 22 January 2022,battery is ok,64GB,Verified Purchase
109,Black,"My first iPhone.. switching from one plus 6..

Already many reviews are and nothing much to add but con regarding call list is thing to address from apple

whatsaap call, team call and also normal call are showing all together in same call list",Reviewed in India on 24 August 2021,Awesome one,128GB,Verified Purchase
110,(PRODUCT)RED,"Excellent performance, all apps open up almost instantly. Battery life is great. Gets around 4.5-5 hrs screen time with 47% remaining (last checked). Initially while restoring from iCloud it would consume a lot of battery. Give it a day or two. It would settle down.",Reviewed in India on 20 December 2020,Snappy performance and good battery backup,64GB,Verified Purchase
111,Black,"Excellent phone. I have been using iPhone since iPhone 4s was launched
iPhone 12 is exceptionally good phone with a lovely screen. colours are vivid and elaborate.
I am pretty heavy user of my phone on a daily basis and the battery really lasts for the whole day comfortably, actually I do not have to worry regarding my battery in spite of heavy usage.
Camera is very good and takes perfect picture especially the portrait mode which is actually superb.
Buttery smooth operating system and iOS 14.3 is superb. I actually do not feel the difference with 120 Hz refresh rate. The phone does not really lag at all, the dual SIM capability is also lovely and helpful.",Reviewed in India on 1 January 2021,Excellent phone,64GB,Verified Purchase
112,Green,Phone is getting extremely hot while charging and also while using. Samsung note has better camera than iphone wastage of money nothing else. Strongly wouldn’t recommend.,Reviewed in India on 25 September 2021,Battery and camera,128GB,Verified Purchase
113,Black,"Best smartphone in the market. Camera is great. Can do astrophotography a bit.
You can throw anything at that A14 processor & it will work like a charm.
Ram management is freaky, If you close a app & open it after 24 hrs, it will take you exactly where you had left off.
Battery Lasts for over a day & screen on time of 7-8 hrs with proper settings.
People laugh at apple for not providing charger but any other charger works same like apple ones. No need to buy a separate apple charger. Use android ones. Above 15W",Reviewed in India on 3 July 2021,The beast,64GB,Verified Purchase
114,White," I was litterly worried before getting it delivered, as my delivery was late, I thought they will be some golmal on product, but I got the original product which I was expecting.. pls go n buy, don't get panic by seeing reviews.. I'm very excited with my new phone.. battery life is also good. Face is awesomepart and camera quality at picks... best deal for this independence day 😍🤩",Reviewed in India on 21 January 2022,"Awesome phone, don't step back beoz of bad reviews. Make ur dream come true 😀",128GB,Verified Purchase
115,Black,Earpiece damaged with in 8 months no one giving proper service customer service too bad in india,Reviewed in India on 4 July 2021,Bad customer service,64GB,Verified Purchase
116,(PRODUCT)RED,"Comparing iPhone with Android devices, it really feels like iPhone are really smart. with smart typing and UI features, not only the phone is fast but also offers unique features like intelligent charging, health, connectivity/sleep settings which one will be surprised to use. Camera picture quality is definitely the best if not the best for iPhone.

My suggestion: Truly intelligent, incredibly fast phone one should buy !!!",Reviewed in India on 12 March 2021,Truly a smartphone,64GB,Verified Purchase
117,Blue,"I always thought Iphone is a waste of money… I thought its just a phone why to spend so much for a thing that will stay in ur pocket more than half the day… Now i know why they cost so much and i do not regret spending this amount on a phone… battery is very good given only 2700 or 2800 odd mah battery but still as compared to android could have been-a bit better.., but over all a gaming beast",Reviewed in India on 16 June 2021,Awesome… gaming beast… battery could have been better,128GB,Verified Purchase
118,Black,"This is the first IOS device for me after using an android until now. No doubt the transition was smooth. The camera is superb. It has FLAGSHIP LEVEL CAMERA. I need to charge it once for full day usage(not an heavy user) while using internet. OLED display is superb. Being an Android user since start, I was not able to restore my Whatsapp data in IOS which was one of the drawbacks. Overall it is good phone but overpriced. You won't get charger and earphones. There is a challenge to try new apps as most of the apps in IOS are paid with just 3-7 days trial period. There are other brands in market who provides similar features at very less cost but at the end it's IOS vs Android.",Reviewed in India on 22 July 2021,Must Try | Over Priced,128GB,Verified Purchase
119,Black,iPhone is iPhone. Switched from Honor Flagship phone and it was smooth transition. Delivery by Amazon is just wow. Seal proof packaging and one day delivery. Ordered same phone from Flipkart and they delivered me Shampoo😩ios is very smooth.battery life is good. Face unlock is breezing fast. Overall must buy if you are looking for secure sturdy and safe phone beyond 50k.,Reviewed in India on 20 January 2022,iPhone is iphone,128GB,Verified Purchase
120,Black,Purchasing phones from Amazon is trustworthy 👍🏼👍🏼 Thank you Amazon for prompt delivery,Reviewed in India on 10 October 2021,Nice one,128GB,Verified Purchase
121,(PRODUCT)RED,"Have used for more than a week ...display is good and classy, camera is very good even in low light, product is light weight as compared to previous versions XR ,battery lasts for two days with very low usage and charging takes around 2h15mins from 10 to 100% with 12W apple charger..overall it’s a good mobile with less battery backup that might have been boosted ...",Reviewed in India on 6 February 2021,Classy mobile with less battery capacity,64GB,Verified Purchase
122,Green,"Having transitioned from the World of Android to IOS, it seems like a truckload of difference in these 2 worlds.... The Simplicity, Refinement and Ease of Use on this Ecosystem is just too Classic.... The Battery Life, The Haptics, The Camera and the overall Fluidity of IOS makes an impressive impact in terms usage.... For me, using an IPhone for the first time reaffirms me of one thing: I don’t think I will want to switch back to the Android Ecosystem ever again.....",Reviewed in India on 20 March 2021,A Powerpacked Device that ticks all the boxes,256GB,Verified Purchase
123,Green,"First iphone. And not all disappointed. Iphone is an iphone, looks premium stylish, good battery life. SOT of 8 to 9 hrs regular use and 4 to 5 hrs only gaming. Media consumption 6 to 7.screen oled dolby vision awesome. Face id super cool finds u at night too, but not with mask on. Green is super cool. From oneplus to iphone YOU WILL KNOW WHAT PRIVACY IS WHEN YOU SWITCH FROM ANDROID. Multilevel security wow wow wow",Reviewed in India on 2 June 2021,First iphone is too good,128GB,Verified Purchase
124,Black,"I bought iphone 12 in republic sale, it is a scam, neither amazon nor seller RKLLP will intertain any complaints about the product, don’t buy any expensive item on amazon",Reviewed in India on 20 January 2022,Worst customer support from Amazon and RKLLP,64GB,Verified Purchase
125,White,"Thanks to Amazon n the seller for early delivery. I have used this phone from the last 10 days n it’s absolutely stunning, beautiful n the beast..Camera is awesome n the night mode is fabulous. I have upgraded from iPhone 6s. No other phone in the current market can outdo it. Though it’s expensive but you won’t regret to buy if u can afford.I have seen a lot of other negative comments n they r android users. I will be using this ph for another 5 to 6 years.",Reviewed in India on 22 December 2020,The phone is a beast!,128GB,Verified Purchase
126,Blue,"I am writing this review after using my iPhone 12 for three weeks and I must say the decision I took to switch from android(I have been an android user for the last 8years xD xD) to iOS has been incredible. The experience is commendable, iPhone 12 is the best phone in the market as of now. I haven’t faced any battery issue or any heating issues as I have seen other reviews complaining the battery and heating of the iPhone. Attached are a few sample shots I took from my iPhone to show that the Apple’s camera quality is unmatched and surreal. The Face unlock is great, the battery’s pretty good, camera’s excellent….overalls my whole transition from android to iOS has been great. Go for this phone guysss…. It’s the best in the segment with some mind blowing iOS features. P.S. Just got updated to iOS 14.6 😊😊😊",Reviewed in India on 21 June 2021,The BOSS Phone..!!! iPhone 12 truly a masterpiece from Apple.,128GB,Verified Purchase
127,Green,"Superb phone! Amazing same day delivery!

I have more to add to my earlier review after roughly a month of use. The phone is an original Apple device. It's smooth and quick, and it doesn't become hot when in use or charging. The charge lasts the entire day (I use it mostly for social media, web browsing and music) Face recognition is excellent. Battery health is 100% (check this when you receive your phone under ‘battery health' in settings) and to keep it that way, make sure you close all background apps while the phone is not in use. Play a ‘pixel test 4K' video on YouTube to see if your phone monitor has any dead pixels. I use the original Apple adaptor (which must be purchased separately) and the type C cable that comes in the box. Overall the phone is a great purchase!",Reviewed in India on 15 July 2021,Excellent!,64GB,Verified Purchase
128,Blue,Excellent product and value for money at that price way better than one plus pro 5g at that price because iphone 12 supprts all the band's of 5G and camera screen are as usual excellent privacy always built-in for apple products 👍,Reviewed in India on 25 June 2021,Value for money at that price,64GB,Verified Purchase
129,White,"Its outstanding. I was using iphone 12 mini. Size wise this is better. This is amazing machine. Camera is great, performance is amazing, display is outstanding. Using iPhone 12 is some thing I never experience before. This is fantastic device.

Ratings
Speed - 5/5
Display - 5/5
Battery - 5/5
Weight - 5/5
Camera - 5/5

I cant give any less rating. This is just great. One thing I like to say if you like big screens then better to go with Pro max. Rest this is killer.",Reviewed in India on 2 February 2022,No Comparison!!,128GB,Verified Purchase
130,(PRODUCT)RED,"Well this is iphone but for me it’s another phone. Battery backup is one issue when you continually use it for couple of hours like imovie, camera or editing apps. Battery health got depleted to 91% and not sure I don’t game or edit things every day. This should be a beast on multitasking but yeah it is what it is. I’m gonna sell this one sometime. Even there are recommendations to use genuine products but it’s kind of overrated. Apple should seriously work on this battery part.",Reviewed in India on 4 August 2021,Kind of disappointed on battery health and during camera usage,128GB,Verified Purchase
131,Black,"What to say about iPhone 12? Amazing Phone, loaded with all the features, Screen quality, camera quality, sound quality- all are superb. Moreover, 20W charger from Apple provides fast charging. 10/10. Enjoying my buddy, iPhone 12, you rock!",Reviewed in India on 4 November 2021,iPhone 12- The Best!,128GB,Verified Purchase
132,Blue,"Hopefully this will be my first and last iphone as I am not accustomed with IOS environment. Previously i used S9 and really that was a gem.
Premium Android users will never love this IOS, and hopefully someday I will get back to my android.
Overall the phone is good, one of the best in the market. Hopefully I have 4 years to fall in love for this one 😇",Reviewed in India on 20 June 2021,Android to iPhone switch,128GB,Verified Purchase
133,White,"Its bit expensive but Its worth buying.

Directly moved from 15k android to this and I cannot complain. Experience is awesome and product is superb.
Sound, Battery, display are all good. I have some issue with Camera..It shows too many details while taking selfie :)",Reviewed in India on 27 August 2021,Awesome Purchase,128GB,Verified Purchase
134,Black,"Got the phone configuration that I wanted at decent price in republic day sale. Since apple user since many years, it was time to upgrade from iphone 7 to iphone 12, 256 GB config. Didn't find much difference in 13 and 12, so the price I got for 12 was decent balance for the upgrade. Feature wise I miss fingerprint scanner compared to previous version. Not a big fan of facescanner !😟",Reviewed in India on 26 January 2022,Good phone at good price in republic day sale !,256GB,Verified Purchase
135,White,"Bought this phone after along comparison with S21 plus.
why i bought Iphone 12 -
1. 6'1 inch screen is good compare to foot long 6.7 flagship now days.
2. display quality is superb.
3. got on a discounted rate.
4. working on Apple eco system as i already have i pad mini for gaming and multi media purpose.
5. look classy.
6. light weight.
7. Impressive screen on time.battery life is impressive didnt expect it to last this long . easy work for 2 days.
although its bit expensive console yourself for getting good re sale value compare to android when it get old.",Reviewed in India on 12 June 2021,Apple iphone 12 is the best flagship phone .,128GB,Verified Purchase
136,Black,"Was using iphone x still have it one of the best iphone made by apple.
Just know if you having other apple products like your laptop is an macbook you having ipad too and you have iwatch and other apple products then having an iphone is totally worth it but if you want an iphone just for the sake of having an iphone then you are on mistake.",Reviewed in India on 30 August 2021,What to say about iphone,128GB,Verified Purchase
137,Green,"Battery life is good. Great display. Point and shoot is always good on iphones. Phone has all that you need.

Prices is always high and we still buy like fools and to top it we dont get earphones nor the power brick.

The last thing is we do not get quality military standard drop protective cases which is the worst thing its nothing related to phone but good to know info. Even if you get they are some of the worst ones and price is atleast three time more compared to the original product price.

And if your buying Apple warranty you will keep draining your money as they have the worst support. They only believe in replacements and I am sure its not worth it to pay 18k for an year.",Reviewed in India on 12 August 2021,Great phone. Prices in India not so great,64GB,Verified Purchase
138,Blue,"Apple 12 is a decent phone to upgrade if you are using any apple phone below X.. If you are using 11 or 11 pro, I would say just wait till the next version or the next .. It’s an excellent phone but the battery life is not great as usual.. light weight and beautiful to hold.. 5G is available but in India we will have to wait for some time.. Enjoy and have fun using the device.. 👍👍👍",Reviewed in India on 2 April 2021,Good phone .. 👍,128GB,Verified Purchase
139,White,"This the best iPhone currently in the market imo.

Crisp navigation, very nice battery-life, Excellent camera even amazing videography with Dolby HD technology. The face ID works like magic.

Apple went above and beyond with this phone.

The best part? I got almost 30000 INR discount on republic day sale and by availing exchange offer, so got the 128 GB variation for 52000 INR!!!! WORTH IT!!!!!!!!!",Reviewed in India on 20 January 2022,Wonderful piece of hardware,128GB,Verified Purchase
140,White,"What a masterpiece this phone is! Coming from a flagship Android phone, this looked like a big leap. It’s totally next level. What a display, what an operating system, what a processor, what a camera! This is not only a phone but master of all. Wow. It’s an engineering marvel from Apple Inc.",Reviewed in India on 9 January 2021,Perfect and flawless phone,128GB,Verified Purchase
141,White,"iPhone 12 is an excellent phone and one of the best phones you can buy, period. It's classy, super fast, processor is amazing, excellent camera and gives better performance than any Android phones. Though I have read some reviews highlighting some shortcomings, but till now I haven't faced any. Anyhoo, just go for it. It's a superb device.",Reviewed in India on 15 July 2021,My best companion ever.. ❤️🍎,64GB,Verified Purchase
142,Blue,Reviewing after 10 days of use. I am very dissapointed with the battery life. Back camera is ok but the heating issue is worst. May be I have expected alot. And also no return policy by amazon on this product.,Reviewed in India on 6 April 2021,Never buying again or reccomending others.,128GB,Verified Purchase
143,(PRODUCT)RED,"Amazing product and very nice quality.
I usually never order electronics online, i always buy it from a physical store. This time i checked everywhere for 256gb iphone 12 but it was out of stock and i had no option but to buy it online.
I was a bit worried about the fraud and fake products but when i opened the package I realised that this cannot be fake.",Reviewed in India on 9 January 2021,Review,256GB,Verified Purchase
144,Black," Lack of innovation, I also i didn't like software as I struggle to go back from any screen I open.

Android is much easier and user friendly.",Reviewed in India on 29 January 2022,"Beautiful Device, easy to grab and grip is awesome in normal adult palms",128GB,Verified Purchase
145,Blue," Changed from iPhone X, Got the new blue colour, something unique from apple. Great battery backup and the edges now look too premium. Overall, such a great buy 🤩",Reviewed in India on 19 January 2021,Feel too premium,64GB,Verified Purchase
146,White,"Premium looks, smooth user interface, outstanding camera quality, top class screen, great sound quality from stereo speakers. Instant face detection and unlocking. No finger print sensor (not required as face detection does the job instantly). No 3.5 mm port for headphones, requires airpods or bluetooth headset. Excellent noise cancellation. Double sim (nano+esim). Easy to switch from Android with inbuilt feature to transfer all the data.",Reviewed in India on 16 November 2021,Great looking phone with outstanding features,128GB,Verified Purchase
147,Blue,"I ordered iphone 12 blue,128gb started showing issues. It was getting restarted on its own after every 15 mins or so. The display started lagging and and at times the device was completely unresponsive leading to unexpected shutdowns all this happened in merely 5 days of using it. And upon contacting customer support I was informed by Ms. Tuleshwari from support team to connect with Brand and in case the brand is ready to issue a service report they will initiate the replacement request. Upon getting the service report done from Apple service centre the support team staff Mr. Sanjay on outright basis denied replacment stating we cant issue basis the report. It's the brand who will have to be contacted. Customer service and support is clearly lacking with a brand like Amazon. What's the point of claiming of a free 7 day replacement policy when the support team clearly twists it as per their own convenience. I have had a experience of lifetime and would highly recommend no one to buy from Amazon. They are best at not helping consumers whatsover. #patheticpolicies #poorcustomerservice",Reviewed in India on 25 January 2022,Bad customer support and no support on replacement of defective product received .,128GB,Verified Purchase
148,Blue,"Seems iphone is defective. Suddenly call is getting disconnected and dialing to some other number by itself. I was using Iphone 10 earlier and i never see such behaviour. Also, couldnt able to save contacts as Phone number is populating in place of Name to save. Seems defective peice, not happy",Reviewed in India on 28 January 2022,Seems iphone is defective. Suddenly call is getting disconnected by itself,128GB,Verified Purchase
149,Blue,"This is the fastest iphone I have seen so far. True Value for money. Compared it with several other phones and observed that iphone12 is significantly faster than all the phones.
Phone build quality is excellent. It supports fast charging capability which is very good. Using a 20W USB-C adaptor I am able to charge it from 20% to 100% within 1 hour.
Battery life is also good compared to previous iphones.",Reviewed in India on 4 July 2021,"Amazing Phone. Excellent. Best iphone ever!!,",64GB,Verified Purchase
150,Blue,"Writing this review after nine months of using. Overall user interface is very good, picture quality is very good, battery life is somewhere average. I have faced discolouration issue in nine months without any fall or anything and apple service centre denied any service for this issue. Being a premium phone, this visual issue shall not occur so easily. Disappointed that such a costly phone doesn’t cover this in warranty and what kind of painting they do that peels off so easily.",Reviewed in India on 28 August 2021,Not Value for Money,128GB,Verified Purchase
151,Blue,"Good product, bringing back the old 5s style advantage.
But, Moved from pixel3 to iphone12.
I felt pixel is better than iphone 12, only best part of iphone12 is ios
Expected more from Battery
Camera is good, build quality is great",Reviewed in India on 9 May 2021,Nice product,64GB,Verified Purchase
152,Black,"This is my 1st iphone and I loved it. I m not the one who is biased for iphone. But I personally loved it. Camera,Battery, sound everything is perfect. Do not set high expectations from battery, It is like u charged it in morning and use it whole day.

Concern-: Data transfer is a big problem. If u want to transfer data to android mobile then watsapp is the only option. Till now I have not found any application yet which will help to transfer data smoothly.",Reviewed in India on 27 June 2021,"1st Iphone,Review after using 2 months.",128GB,Verified Purchase
153,(PRODUCT)RED,"Very good product. I was using 6S plus till now. After using for one and half month, it’s so impressive and battery is the best. It comes whole day. Very fast and smooth. Nice design.",Reviewed in India on 16 December 2020,VERY NICE PHONE,128GB,Verified Purchase
154,Blue,"Product is getting warm.. also pictures are very low resolution..getting scattered

This was my third iPhone…really disappointed

Wasted approx 80k .. Apple has now selling it around 65K

Not a god experience …will switch to another brand next time after having 10 years of attachments",Reviewed in India on 24 October 2021,Getting warm and low performance,128GB,Verified Purchase
155,White,"I ordered from amazon this much expensive product for the very first time. I was afraid about whether it will be a original product or not.
But It is 100% original product from RKLLP seller. Thanks Amazon.
100 % recommended. Superb product by Apple.",Reviewed in India on 30 January 2022,Original Apple iphone,64GB,Verified Purchase
156,Green,After using for a month in lockdown all apple stores closed. My phone keeps on restarting ilon its own. The phone hangs and swtiches off for few seconds and then restarts. Happens everyday multiple times.,Reviewed in India on 7 June 2021,Dont know if original product,128GB,Verified Purchase
157,(PRODUCT)RED,This iPhone is amazingly good and camera is awesome. I will update about battery after few days of usage.,Reviewed in India on 21 December 2020,Awesome Phone,64GB,Verified Purchase
158,Green,"The mobile phone in the market right now. Period. I am into the apple ecosystem and hence, cannot think of any other mobile brand. Everything runs as smooth as silk, the display legibility outdoors is amazing, and privacy is never a problem with apple devices. Apple stands for quality and so does this iPhone 12.",Reviewed in India on 4 July 2021,Best mobile phone in the world till date,64GB,Verified Purchase
159,Black,"Beast phone. I'm writing this review after 3 days of use. This is the first time i am switching from Android to ios (iphone 12) and i am loving the overall experience. First of all i was a lil sceptical about buying an expensive phone online. But after so much of research and asking friends I have ordered the phone. And now after unboxing and using it for 3-4 days, I can surely rely on online purchase. Amazon delivered a good genuine product. I've also bought it during a sale on Amazon so got a good deal. Overall a very very good experience. Highly recommend.",Reviewed in India on 22 January 2022,Beast phone.loving it.,128GB,Verified Purchase
160,(PRODUCT)RED,"The support for google apps is bad. Eg. You cant upload a video from your phone to YouTube

The small patch on the top middle of the screen is bad.

Be ready to spend 2/3K on charger even after spending huge amount on the phone.

Otherwise, the remaining aspects are great.",Reviewed in India on 6 November 2021,Few improvements needed,128GB,Verified Purchase
161,(PRODUCT)RED," Battery backup is worst. My 2 year old redmi note7 pro (12k) easily runs one full day with more than 4 hour screen on time. But this new 60k phone almost dies with 2 hour Amazon music. Clearly not worth it. Apart from the 12mp ultra wide camera nothing else is impressive in this comparing to my old phone
. Updated to the latest iOS version. Running in low power mode. Still battery is draining. Since the replacement period is over, totally devastated. To conclude never buy an iPhone ever again. In video Battery charged to 96%. But after restarting the phone it shows 100%.",Reviewed in India on 3 February 2022,Battery backup is non existent,128GB,Verified Purchase
162,Black,Not to long battery backup only two three hours,Reviewed in India on 11 February 2021,Camera pixel not as per expection,128GB,Verified Purchase
163,Blue,"Camera quality is excellent, battery life is also ok. Compare to android not much. But good recently quite. I am first time user, apple company sells now separate every part business like . This is not corect",Reviewed in India on 9 January 2021,Nice excellent but missing charger not corect,128GB,Verified Purchase
164,Blue,"The phone I got just gets heated without any usuals - no games, no music and it gets heated to extent that I cannot hold it close to my ears. I am trying to get this replaced but the system says talk to apple. I think the supplier has sent me used phone and I feel Amazon should ensure new fresh piece reaches me",Reviewed in India on 9 May 2021,Awful phone set need replacement,64GB,Verified Purchase
165,Black,"If you have iphone 11/XR not much of a change expect the change in look from outside . From inside its still functions the same.
Battery like : Can be improved. Okayish currently.
Value of money: Not really. 80k INR is a lot of money.",Reviewed in India on 22 January 2021,Not much of difference from predecessor.,64GB,Verified Purchase
166,Green,"It is the latest Iphone with good balance for memory for 128 GB. The camera is good and it may not be pro, but neither am I. 12 Mega pixel Iphone camera is so much better than a phone with 20-25 Mega Pixel camera with all due respect. Its nice, intelligent and Most advanced phone in the world. Simply loved it.",Reviewed in India on 22 July 2021,"When in doubt for iphone 11 pro and Iphone 12, go for Iphone 12. You won’t regret it.",128GB,Verified Purchase
167,White,"The screen quality is good :- Compared to my Galaxy A50, the screen quality of iPhone is better
Camera is superrr:- No camera is best than iPhone, the camera is better than iPhone 11
Face ID is great :- calls get low tuned just when you look at the screen even without touching the phone as in phone understands that you've looked at the screen (shows a good example of Retina scan)
Battery :- is a bit issue as it drains fast
Apart from battery, the phone is AWESOME
Secure and fast",Reviewed in India on 3 August 2021,"Awesome phone, smoothest lightning speed. Great camera and retina scan sensor works smoothly as well",128GB,Verified Purchase
168,White,if u r selfi lover i dont reccomend this,Reviewed in India on 28 June 2021,front camera is worst,128GB,Verified Purchase
169,Green,A Solid green line was present on the screen & no positive response from Customer service for Replacement.. I had to rush to Apple store and they are taking 45-50 days for replacement of Iphone 12.,Reviewed in India on 5 June 2021,A Solid green line was present on the screen,128GB,Verified Purchase
170,Black, Scratch near charging point,Reviewed in India on 16 January 2022,Scratch near charging point,128GB,Verified Purchase
171,Blue,"Nice camera , display , touch feel....
Battery life needs to be improved ..
Phone gets heated while charging.
No in display finger unlock, notch is big but face I'd is very quick.

Overall good fon at this offer...use and Njy...",Reviewed in India on 28 January 2022,Nice phone,128GB,Verified Purchase
172,Blue,"Just by looking at it you will love the phone. I got blue it looks ravishing. Since we most of us (if not all) will go for cover, would still suggest to go with white because with back covers white would look good. I too took quite some time to decide between blue and white. White's novelty is timeless.
You can go for this one without any second thoughts IF YOU PLAN TO KEEP THIS FOR 3-4 YRS AT LEAST ELSE better go for iphone 11 as it would be more value for money.",Reviewed in India on 17 February 2021,Love at first sight!,128GB,Verified Purchase
173,White,"I just bought iPhone 12 recently and my experience is average( As I had bought it for an experience, not to show-off).

Pros: Built is great, the camera is much better, touch is good, face detection is good

Cons: Overpriced, average battery life, non-availability of all the android apps, you need to buy a charger, headphones etc separately. Only one type of wired headphones is available. The biggest problem is that I can not create a separate folder for the Camera and the list is still on",Reviewed in India on 1 July 2021,Okay experience,128GB,Verified Purchase
174,Black,"the enclosure-box which covered phone-box had no additional foam or any such thing to take shocks during delivery. phone-box wasn't sealed, nothing inside was tampered though.",Reviewed in India on 28 September 2021,didn't come with any seal,128GB,Verified Purchase
175,Blue,"All I phone models are premium phones, coming to 12 price is to costly, but the quality is awesome.
Camera, display, processor and look of the body is premium.
One think I don’t like is, phone is not coming with adapter and the headphones
Over rating for this iPhone 12 🌟🌟🌟🌟🌟",Reviewed in India on 2 December 2020,Supreme I phone...!!!,64GB,Verified Purchase
176,Blue,"This is my first iphone and I am having the best experience sp far with it. The oled display is the smoothest of all, amazing camera even for night lights its perfect. Totally satisfied with the experience.

Amazon delivered the phone one day late and it was a slight disappointment.",Reviewed in India on 26 January 2022,My first IPhone,128GB,Verified Purchase
177,White,"Apple has rightly hit all the parameters. Iphone 12 is undoubtedly currently the best phone in the market. I am writing this review after using this phone for 4 months.

Pros: very sturdy, crystal clear, superb battery, never heat, great camera, good facial recognition

Cons: Priced high

But you will not regret buying this",Reviewed in India on 30 June 2021,"Sturdy, rough and elegent",64GB,Verified Purchase
178,White,"I have got the iPhone 12 for price 75900 the 128GB variant

Pros: Battery life is great and Lasts for a 1.5 days
Phone is super Fast with awesome features are Good and Phone doesn't Lag.
Cons: Camera Software need to improve through Software upgrades from IOS.
Finger print Sensor not available.

Finally Worth Buying and using it. Wait for the price drop and buy it.",Reviewed in India on 4 June 2021,Wait for Price drop and buy it,128GB,Verified Purchase
179,Green,Buy this phone if you’re are upgrading from iPhone 7 or older or you gotta have a 5G phone (despite india lagging in 5G race) otherwise there is no difference in performance between this or iPhones that came after iPhone X. It works and behaves like an iPhone no surprises and no disappointments.,Reviewed in India on 8 August 2021,Just like all other iPhones,64GB,Verified Purchase
180,(PRODUCT)RED,"I bought iPhone 12 just because of one hand usability compared to iPhone 11(coming from iPhoneX 3.5years)
my wife uses iPhone 11, and i think i should have bought iPhone 11 and waited for 13 later.

average battery, same or poor than iPhone 11.
great display, that's it.

5g is a joke anyways.",Reviewed in India on 1 June 2021,overpriced piece of tech.,128GB,Verified Purchase
181,(PRODUCT)RED,Good product it is little bit smaller than iphone 11 and iphone xr design is nice it is litter colour than xr and iphone 11 i face issue that face id is opening by my brother face.it is fixed after reset the face id.,Reviewed in India on 10 November 2020,Iphone 12 review,128GB,Verified Purchase
182,Blue,Face id detection is not working,Reviewed in India on 16 January 2022,Defective item,128GB,Verified Purchase
183,Blue,I bought an Apple iPhone 12 128 gb. The phone was delivered on time and in mint condition. Very impressed by both Amazon and the seller. Well done to both of you. The phone is extremely easy and smooth to use. It’s fast and it runs on the latest ios software.,Reviewed in India on 23 January 2022,It’s an Apple,128GB,Verified Purchase
184,(PRODUCT)RED,"I was aware about Apple product but was scared to order online, however i have a great experience with amazon to buy many expensive products therefore ordered and amazon kept my trust intact. Apple IPhone is awesome as usual good battery life, quick processor and nice performance.",Reviewed in India on 6 March 2021,Timely and safe delivery by amazon and wonderful Apple product as usual,128GB,Verified Purchase
